GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AP-30,516.25,264.91,6.19,1.56,1.34,252.45,17.01,172.14,21.74,276.8,1.51,60.01,1.31,0.12,0.42,7.16,32.78,123.62,13.59,1.1431,0.6156,16.439,15.692,28.584,30.135,19.581,21.071,42.715,34.276
AP-31,528.4,267.33,9.47,1.69,1.46,242.88,19.8,157.97,22.84,273.36,1.48,53.16,1.48,0.04,0.04,8.91,25.17,114.84,12.26,1.1457,0.6106,16.224,14.53,27.529,29.445,19.096,20.111,43.945,34.52
AP-32,591.72,249.25,2.65,1.5,1.17,269.17,18.22,154.33,0,0,0,49.36,0.87,0.05,0.57,7.51,39.8,82.99,11.68,0,0,0,0,0,0,0,0,0,0
AQ-20,518.3,274.66,2.44,1.38,1.16,354.36,17.28,216.85,20.27,266.71,3.09,31.89,0.75,0.05,0.15,1.51,16.92,106.59,10.54,1.1492,0.6166,15.057,14.016,27.098,28.568,20.158,20.314,42.862,33.677
AQ-21,553.68,288.63,2.2,1.29,1.13,345.68,15.08,224.63,19.52,276.96,3.11,32.22,0.25,0.09,0.15,1.98,28.5,90.49,11.03,1.152,0.6118,14.716,13.678,27.223,28.989,19.778,20.197,43.116,33.9
AQ-22,534.68,275.2,1.39,1.45,1.16,318.99,10.59,196.6,19.95,274.98,1.84,36.65,0.52,0.16,0.25,8.82,13.95,90.43,6.61,1.1567,0.6175,14.699,13.415,27.847,28.733,18.694,19.021,43.107,33.652
AQ-23,528.51,189.03,1.53,1.36,0.71,289.42,9.06,196.1,20.48,277,1.46,63.4,0.57,0.04,0.08,7.43,15.97,80.72,6.1,1.1579,0.6109,15.425,13.915,30.157,30.305,17.054,17.9,42.491,33.848
AQ-24,545.47,257.69,5.16,1.1,1.03,245.38,8.23,182.53,21.43,260.48,2.56,65.48,0.98,0.15,0.02,3.4,12.57,88.05,5.21,1.1463,0.6129,16.243,14.565,28.704,29.914,20.074,21.098,41.925,33.799
AQ-25,520.92,264.26,9.28,1.08,0.87,223.25,6.45,185.89,20.59,266.11,2.76,65.16,1.44,0.1,0.08,3.15,6.26,98.58,4.3,1.1543,0.6256,16.628,14.421,27.451,29.97,24.757,25.94,39.543,33.631
AQ-26,483.78,227.14,12.04,1.42,1.3,207.76,6.5,185.53,0,0,0,63.41,1.47,0.13,0.14,0.86,3.11,106.97,4.93,1.1671,0.6274,17.504,15.169,25.524,29.32,28.634,28.151,37.485,33.719
AQ-27,535.16,263.92,5.91,1.28,1.09,204.14,4.4,189.4,20.5,268.42,1.95,62.71,0.33,0.09,0.08,3.55,2.08,104.91,3.56,1.173,0.6322,17.703,16.234,24.845,29.112,29.517,29.332,37.239,34.074
AQ-28,560.46,279.62,12.77,1.46,1.29,204.43,7.97,192.22,20.86,265.16,1.69,55.07,1.38,0.03,0.09,6.65,4.83,107.52,7.18,1.1539,0.6312,16.552,15.665,25.982,30.195,28.623,29.183,37.652,34.053
AQ-29,500.58,256.33,7.13,1.43,1.2,211.89,7.03,232.27,20.63,262.01,2.3,49.55,1.44,0.1,0.04,3.71,11.99,119.45,5.35,1.1634,0.6252,16.355,15.116,26.993,30.311,25.489,26.533,39.388,34.239
AQ-30,526.92,254.15,4.7,1.48,1.21,240.27,11.23,227.74,21.12,266.11,1.65,48.52,1.14,0.07,0.48,2.4,21.74,96.02,7.37,1.1576,0.6175,15.718,14.035,27.849,30.173,22.098,23.415,41.51,34.188
AQ-31,548.36,227.91,8.37,1.61,1.46,232.69,15.26,198.42,21.4,283.85,0.66,47.47,0.48,0.03,0.58,2.54,28.17,108.79,11.18,1.1451,0.6115,17.072,15.443,25.8,28.462,23.467,24.602,42.22,34.351
AQ-32,533.24,243.6,3.27,1.55,1.29,247.16,14.4,226.11,0,0,0,59.37,0.93,0.07,0.29,6.57,25.74,95.37,15.68,1.1579,0.6074,16.516,15.36,26.414,29.056,22.81,24.241,42.393,34.196
AR-20,557.05,254.22,1.03,0.99,0.87,367.92,14.12,212.43,19.51,267.92,2.96,64.89,0.95,0.07,0.31,14.55,19.5,119.12,10.52,1.1105,0.6194,15.257,14.202,26.811,28.541,19.669,19.903,43.456,34.002
AR-22,515.92,196.2,2.17,0.96,0.86,350.82,15.7,173.7,19.46,253.83,5.63,31.85,1.23,0.22,0.11,2,19.7,91.33,10.41,1.1408,0.6147,14.742,13.696,27.298,28.596,21.143,20.94,41.193,33.165
AR-23,535.61,225.47,1.36,1.41,1.19,313.51,16.5,180.67,20.87,277.83,1.14,32.9,1.97,0.16,0.07,6.54,22.79,100.38,10.39,1.133,0.6194,15.357,14.334,27.837,29.301,19.542,20.127,42.672,33.733
AR-24,530.47,183.38,7.79,1.43,1.04,265.79,16.42,169.84,0,0,0,53.95,1.34,0.15,0.08,1.87,28.19,87.01,10.43,1.1091,0.6031,15.984,13.875,27.86,29.248,20.62,21.315,42.263,33.779
AR-26,440.37,106.01,9.61,1.54,1.34,209.72,8.28,188.7,0,0,0,61.56,1.6,0.12,0.36,4.9,4.27,105.14,6.98,1.15,0.6272,18.532,16.114,25.808,29.698,27.786,27.454,38.3,33.832
AR-27,532.13,242.41,4.52,1.75,1.53,210.58,7.28,197.93,20.41,272.94,1.32,56.54,0.93,0.11,0.15,6.54,7.52,105.29,6.14,1.1451,0.6291,18.209,16.501,24.721,28.794,28.937,28.193,38.366,34.055
AR-28,480.73,189.82,6.61,1.43,1.26,209.73,6.43,200.42,20.74,250.16,5.42,50.09,0.64,0.03,0.07,1.07,4.15,112.61,4.6,1.1626,0.632,17.277,15.724,24.753,28.853,28.921,29.282,37.757,33.989
AR-29,527.93,215.53,1.11,1.33,1.09,217.95,8.61,190.32,0,0,0,49.83,0.72,0.11,0.05,1.08,7.87,111.4,6.58,1.1439,0.6259,16.548,15.013,25.774,29.507,27.607,28.032,38.16,34.053
AR-30,497.96,253.82,0.88,1.31,0.99,243.71,8.64,160.03,21.14,268.85,1.61,49.29,0.52,0.07,0.66,2.33,15.97,124.15,6.14,1.1475,0.6222,15.813,14.144,27.191,29.727,24.028,25.138,39.896,33.987
AR-31,505.63,269.42,2.07,1.01,0.75,242.55,6.28,157.79,22.66,272.79,1.16,48.9,0.29,0.08,0.58,1.52,9.99,110.11,4.27,1.1588,0.6255,16.175,14.516,27.769,30.312,23.859,25.443,39.711,34.211
AR-32,513.18,243.98,5.5,1.07,0.9,269.92,11.44,151.17,21.38,264.47,1.96,58.1,1.69,0.12,0.39,8.04,15.86,111.54,8.15,1.1598,0.6206,16.669,15.426,27.663,29.69,19.073,20.741,43.838,34.67
AS-19,555.44,278.7,1.65,0.94,0.75,346.81,17.6,173.38,20.54,261.35,2.44,61.42,1.2,0.02,0.26,16.88,25.23,117.43,13.5,1.1381,0.6111,15.526,14.403,28.183,29.577,19.773,19.943,42.011,33.582
AS-20,614.05,74.64,1.01,1.07,0.78,381.5,12.56,172.36,0,0,0,70.5,1.89,0.12,0.31,0,18.36,121.97,8.08,1.1148,0.612,14.431,13.326,27.582,28.835,20.543,20.162,41.535,33.082
AS-21,541.03,236.47,2.19,1.36,1.02,368.73,14.71,187.98,20.32,267.2,1.69,32.66,1.89,0.25,0.03,1.46,24.28,82.92,8.66,1.1242,0.6152,14.363,13.459,28.056,29.307,21.348,21.244,40.416,33.147
AS-22,523.49,239.12,3.61,1.4,1.32,329.08,20.84,197.31,20.36,267.1,1.68,31.03,1.12,0.24,0.31,2.06,30.14,98.18,13.88,1.1443,0.6147,14.612,13.659,28.374,29.143,20.436,20.629,41.112,33.337
AS-23,580.44,128.51,1.11,1.39,1.15,313,20.59,215.65,19.16,255.49,3.42,31.6,2.23,0.03,0.31,2.31,27.14,91.74,12.76,1.1034,0.6153,15.372,13.948,27.65,28.793,20.837,20.945,41.596,33.243
AS-24,526.79,102.8,12.32,1.78,1.6,257.88,19.11,195.56,0,0,0,0,1.08,0.04,0.16,0,30.08,82.84,18.11,0,0,0,0,0,0,0,0,0,0
AS-25,546.68,212.24,11.31,1.63,1.45,213.96,7.41,203.37,20.27,261.43,1.73,42.9,1.2,0.14,0.22,7.97,5.12,109.05,5.49,1.1541,0.622,17.75,15.509,25.99,28.724,23.978,24.402,41.1,33.697
AS-26,507.42,253.1,2.93,1.35,1.17,216.07,8.32,185.12,20.59,290.26,0.05,51.72,2.28,0.09,0.34,3.97,5.65,111.27,6.5,1.1465,0.6299,17.192,15.623,24.864,28.907,28.186,27.353,38.778,33.682
AS-27,481.46,240.27,10.42,1.39,1.15,214.4,6.62,185.17,21.99,273.04,1.2,55.34,0.75,0.12,0.29,3.25,4.88,107.96,4.83,1.1555,0.6292,17.354,15.765,24.475,28.491,30.452,29.009,36.899,33.798
AS-28,503.82,256.04,2.31,1.15,0.86,219.65,6.83,191.95,21.01,265.04,2.52,53.05,0.64,0.15,0.07,3.34,6.05,107.58,5.33,1.1635,0.6323,16.974,15.436,24.513,28.455,28.271,27.768,38.873,33.941
AS-29,498.39,254.86,4.14,1.13,1.01,216.4,5.07,194.17,21.02,266.23,1.62,50.56,0.56,0.05,0.16,0.29,3.26,112.6,3.88,1.1706,0.6328,16.572,14.547,25.817,29.569,26.965,27.24,38.791,34.071
AS-30,496.99,195.08,0.44,0.7,0.3,223.5,4.55,178.33,22.23,267.86,1.74,50.31,0.62,0.02,0.51,0.93,3.48,111.94,3.26,1.1522,0.6256,16.874,15.243,26.819,30.015,25.406,27.064,39.503,34.218
